,BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
154,2459604.063616,1.00651,0.00316,1.9306,-2.98,1.24,10.2,11602
155,2459604.064253,0.99968,0.00315,1.9398,-0.81,1.93,10.32,10754
156,2459604.064891,1.00074,0.00319,1.9491,3.37,0.67,12.55,9242
157,2459604.065536,1.0021,0.00311,1.9585,2.64,-2.55,8.79,12884
158,2459604.066174,1.0066,0.00297,1.9681,-1.23,-0.86,7.43,20093
159,2459604.066819,1.00181,0.00309,1.9778,-0.19,3.07,9.42,14080
160,2459604.067457,1.00419,0.00323,1.9876,-1.18,2.22,9.39,11554
161,2459604.068095,1.00412,0.00309,1.9976,1.7,-2.72,8.24,14559
162,2459604.068739,0.99676,0.00315,2.0077,3.46,-2.71,8.71,13740
163,2459604.069376,1.0045,0.00316,2.018,0.18,0.67,8.9,13652
164,2459604.07002,1.00443,0.00321,2.0284,-1.16,1.5,10.39,11006
165,2459604.070657,1.00652,0.00323,2.0389,0.8,1.44,10.5,11346
166,2459604.071302,1.01169,0.00336,2.0497,2.21,-1.93,9.54,11754
167,2459604.071939,1.00737,0.00365,2.0605,0.34,-0.87,10.92,8038
168,2459604.072583,1.00478,0.00309,2.0715,-2.07,0.8,8.31,14973
169,2459604.073865,0.99757,0.00323,2.0941,4.5,-2.38,8.75,13234
170,2459604.074502,1.002,0.00324,2.1056,1.84,-1.0,9.43,11587
171,2459604.075146,1.00737,0.00345,2.1172,-2.76,2.48,10.68,9038
172,2459604.076426,1.00183,0.00377,2.1411,2.0,-1.78,12.94,6485
173,2459604.077063,0.9991,0.00383,2.1533,1.14,-1.74,13.18,6326
