,BJD_TDB,Flux,Err
524,2459588.930454,1.00171,0.00201
525,2459588.930668,1.00174,0.002
526,2459588.930881,1.00184,0.00201
527,2459588.931095,1.00436,0.00201
528,2459588.931316,1.0046,0.002
529,2459588.931522,1.00235,0.002
530,2459588.931736,1.00147,0.00201
531,2459588.93195,1.00286,0.00201
532,2459588.932163,1.00429,0.00201
533,2459588.932376,1.00445,0.00201
534,2459588.93259,1.0056,0.00201
535,2459588.932796,1.0049,0.00201
536,2459588.93301,1.00481,0.002
537,2459588.933223,1.00467,0.00201
538,2459588.93343,0.99741,0.002
539,2459588.933643,1.00166,0.002
540,2459588.933857,1.00464,0.00202
541,2459588.93407,1.00169,0.00202
542,2459588.934319,1.00104,0.00201
543,2459588.934533,0.99993,0.00201
544,2459588.934746,1.00577,0.00202
545,2459588.934953,1.00676,0.00202
546,2459588.935166,1.00298,0.00201
547,2459588.93538,0.99962,0.00202
548,2459588.935593,1.00031,0.00201
549,2459588.935799,1.0055,0.00202
550,2459588.936013,1.00083,0.00201
551,2459588.936226,0.99921,0.00201
552,2459588.93644,1.0013,0.00202
553,2459588.936653,1.00397,0.00202
554,2459588.936866,1.00213,0.00202
555,2459588.937073,1.00191,0.00201
556,2459588.937286,1.00414,0.00202
557,2459588.937499,1.00376,0.00202
558,2459588.937713,1.00115,0.00202
559,2459588.937919,1.00214,0.00202
560,2459588.938132,1.00305,0.00202
561,2459588.938345,1.00071,0.00201
562,2459588.938559,0.99861,0.00202
563,2459588.938772,1.00024,0.00202
564,2459588.938979,1.00086,0.00202
565,2459588.939192,1.00578,0.00203
566,2459588.939405,1.00046,0.00202
567,2459588.939618,1.0036,0.00203
568,2459588.939832,1.00254,0.00203
569,2459588.940038,1.00431,0.00204
570,2459588.940251,1.00207,0.00203
571,2459588.940465,1.00231,0.00204
572,2459588.940678,1.00641,0.00204
573,2459588.940891,1.00277,0.00203
574,2459588.941097,1.00529,0.00204
575,2459588.941311,1.00186,0.00203
576,2459588.941524,1.00064,0.00204
577,2459588.941737,1.00088,0.00203
578,2459588.941943,0.99984,0.00203
579,2459588.942156,1.00503,0.00204
580,2459588.942369,1.00073,0.00205
581,2459588.942582,0.99992,0.00206
582,2459588.942788,1.00429,0.00206
583,2459588.943001,1.00612,0.00208
584,2459588.943214,1.00161,0.00207
585,2459588.943462,1.00374,0.00207
586,2459588.943675,1.00743,0.00208
588,2459588.944102,1.00436,0.00205
589,2459588.944314,1.00527,0.00205
590,2459588.944528,1.00331,0.00204
591,2459588.944734,1.00074,0.00204
592,2459588.944947,1.00287,0.00204
593,2459588.94516,1.00592,0.00205
594,2459588.945374,1.00158,0.00205
595,2459588.945587,1.00028,0.00205
596,2459588.9458,1.00306,0.00205
597,2459588.946006,1.0046,0.00206
598,2459588.946219,1.00197,0.00206
599,2459588.946433,1.0045,0.00204
