BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.541353,1.00011,0.00246,1.2220,-2.05,0.81,6.21,34388
2460356.541459,0.99920,0.00247,1.2225,-0.79,-0.45,7.00,26779
2460356.541564,0.99710,0.00246,1.2230,0.17,-0.63,6.08,32371
2460356.541669,0.99512,0.00247,1.2235,0.77,-0.87,6.52,31926
2460356.541774,1.00321,0.00248,1.2240,0.88,-0.45,7.23,28472
2460356.541879,1.00292,0.00248,1.2244,0.10,-0.43,6.62,32052
2460356.541984,1.00049,0.00247,1.2249,-0.72,-0.01,6.24,30696
2460356.542089,1.00012,0.00248,1.2254,-1.79,0.12,6.35,31296
2460356.542195,1.00347,0.00247,1.2260,-2.10,0.22,6.43,31475
2460356.542300,1.00038,0.00247,1.2265,-0.97,-0.12,6.60,31227
2460356.542405,0.99973,0.00247,1.2269,0.51,0.68,6.08,32761
2460356.542510,1.00355,0.00248,1.2274,0.32,0.74,6.00,34666
2460356.542616,0.99900,0.00246,1.2280,-0.83,1.44,6.18,36855
2460356.542721,0.99593,0.00247,1.2285,-1.04,0.07,6.62,29569
2460356.542826,0.99895,0.00247,1.2290,-1.90,-0.35,6.69,31498
2460356.542931,0.99887,0.00247,1.2294,-2.83,-0.62,7.14,27321
2460356.543036,1.00142,0.00248,1.2299,-2.97,0.40,6.83,27362
2460356.543141,0.99805,0.00248,1.2304,-1.60,0.00,6.29,30081
2460356.543246,1.00230,0.00248,1.2310,-1.24,-0.02,6.77,31557
2460356.543352,1.00158,0.00248,1.2314,-0.10,0.26,6.82,29916
2460356.543457,1.00297,0.00248,1.2320,0.00,0.23,6.22,33325
2460356.543562,0.99749,0.00247,1.2325,1.39,0.46,7.12,30098
2460356.543667,1.00166,0.00249,1.2330,2.10,0.98,6.21,32002
2460356.543772,1.00532,0.00248,1.2335,2.37,0.81,6.47,34275
2460356.543878,1.00061,0.00247,1.2340,0.95,0.60,6.75,30367
2460356.543982,1.00219,0.00248,1.2345,-0.88,0.33,6.01,36259
2460356.544087,1.00231,0.00248,1.2350,-2.40,-0.07,6.57,30712
2460356.544192,1.00060,0.00247,1.2356,-1.49,0.09,6.08,34653
2460356.544297,1.00370,0.00248,1.2360,-0.28,0.41,5.81,36240
2460356.544402,0.99964,0.00248,1.2365,0.71,0.28,6.45,31119
2460356.544507,0.99876,0.00248,1.2371,0.35,0.36,6.29,31141
2460356.544612,1.00207,0.00248,1.2376,-0.59,-0.75,6.16,34756
2460356.544717,0.99883,0.00248,1.2381,-1.42,-0.21,5.20,42386
2460356.544822,0.99902,0.00248,1.2386,-1.48,-0.40,6.18,36499
2460356.544928,1.00141,0.00248,1.2391,-2.17,-0.05,6.31,34558
2460356.545033,0.99960,0.00248,1.2396,-1.07,-0.00,7.34,29682
2460356.545138,1.00058,0.00248,1.2402,-0.02,0.05,5.72,36219
2460356.545243,1.00157,0.00249,1.2407,-0.19,0.02,6.43,32166
2460356.545349,1.00173,0.00248,1.2412,0.43,0.04,5.07,42395
2460356.545454,1.00123,0.00248,1.2417,0.88,0.37,6.13,33343
2460356.545559,1.00089,0.00249,1.2422,1.72,0.96,7.06,29160
2460356.545664,0.99756,0.00248,1.2428,3.48,0.65,5.57,40304
2460356.545769,1.00228,0.00248,1.2433,3.70,1.03,6.38,30425
2460356.545875,1.00185,0.00249,1.2438,0.22,-0.09,8.62,24840
2460356.545980,1.00391,0.00248,1.2444,-2.42,-0.42,6.07,36782
2460356.546085,1.00205,0.00248,1.2449,-3.59,0.06,5.70,34703
2460356.546190,1.00156,0.00248,1.2455,-3.10,0.11,6.12,34048
2460356.546296,0.99740,0.00248,1.2460,-1.61,0.68,6.21,34913
2460356.546401,0.99872,0.00247,1.2465,-0.65,0.33,5.36,37450
2460356.546506,0.99674,0.00248,1.2470,-0.82,-0.13,6.46,34862
2460356.546611,0.99796,0.00248,1.2475,-2.08,-0.13,6.52,30752
2460356.546716,0.99403,0.00247,1.2481,-2.57,0.18,5.76,33483
2460356.546821,0.99883,0.00248,1.2486,-3.72,-0.29,6.50,34174
2460356.546926,0.99627,0.00247,1.2491,-4.01,-0.08,6.41,32197
2460356.547032,0.99948,0.00248,1.2497,-3.91,0.54,5.87,35071
2460356.547137,0.99715,0.00248,1.2502,-1.15,-0.51,6.95,27246
2460356.547242,1.00015,0.00248,1.2507,0.15,-0.98,6.03,37040
2460356.547347,1.00341,0.00249,1.2513,0.26,-0.63,5.56,40647
2460356.547452,0.99752,0.00248,1.2518,1.06,-0.94,6.62,31539
2460356.547557,0.99934,0.00248,1.2523,1.79,-0.73,5.69,37501
2460356.547662,0.99811,0.00249,1.2529,1.97,-0.34,6.44,32839
2460356.547767,1.00212,0.00249,1.2534,-0.07,-0.05,6.96,29279
2460356.547872,0.99526,0.00248,1.2540,-2.04,-0.25,6.53,30873
2460356.547978,1.00269,0.00249,1.2545,-3.59,-0.25,5.98,36192
2460356.548083,0.99511,0.00247,1.2550,-4.03,0.27,6.60,31725
2460356.548188,0.99984,0.00249,1.2556,-2.88,0.58,5.99,34533
2460356.548293,1.00048,0.00248,1.2561,-1.55,0.82,6.44,38809
2460356.548397,0.99783,0.00248,1.2567,-0.67,0.00,6.23,32659
2460356.548502,1.00049,0.00249,1.2572,-0.99,-0.56,5.75,39888
2460356.548608,0.99649,0.00248,1.2578,-1.09,0.08,5.31,38192
2460356.548713,0.99782,0.00249,1.2583,-1.71,-0.43,6.66,31398
2460356.548818,0.99797,0.00248,1.2589,-1.89,0.16,5.97,36758
2460356.548923,1.00000,0.00249,1.2594,-1.86,0.23,5.36,37938
2460356.549029,0.99729,0.00248,1.2600,-0.68,0.06,5.36,36231
2460356.549133,0.99828,0.00249,1.2605,1.08,-0.34,6.17,39665
2460356.549238,0.99833,0.00248,1.2611,0.99,-0.61,6.43,35280
2460356.549343,1.00343,0.00249,1.2616,1.01,-0.03,5.19,42906
2460356.549449,1.00200,0.00249,1.2622,1.85,-0.03,5.90,36337
2460356.549553,1.00150,0.00249,1.2627,2.11,-0.26,6.34,29233
2460356.549659,1.00407,0.00250,1.2633,0.60,0.48,6.73,30595
2460356.549764,0.99878,0.00249,1.2639,-1.48,0.20,5.59,38660
2460356.549870,1.00193,0.00249,1.2644,-2.92,0.42,5.51,38724
2460356.549975,0.99702,0.00249,1.2650,-4.05,0.76,6.22,33554
2460356.550080,1.00090,0.00249,1.2655,-3.83,1.23,5.46,39018
2460356.550186,1.00017,0.00249,1.2661,-2.85,1.33,5.80,39519
2460356.550291,0.99867,0.00249,1.2667,-0.79,0.05,5.66,29457
2460356.550396,0.99782,0.00249,1.2672,-0.84,-0.57,6.01,35254
2460356.550501,1.00209,0.00251,1.2678,-1.20,-0.01,5.57,36315
2460356.550606,0.99969,0.00249,1.2683,-1.88,-0.43,5.75,35726
2460356.550711,0.99867,0.00249,1.2689,-2.57,-0.04,5.68,34969
2460356.550817,0.99937,0.00250,1.2695,-2.79,0.37,5.87,37757
2460356.550922,0.99765,0.00249,1.2700,-0.55,-0.06,5.63,35718
2460356.551027,0.99795,0.00249,1.2706,0.23,-0.47,5.84,38306
2460356.551132,1.00146,0.00250,1.2712,0.12,0.11,5.85,35550
2460356.551237,1.00282,0.00250,1.2718,0.75,-0.07,5.74,36097
2460356.551342,1.00138,0.00249,1.2723,1.57,0.28,5.45,40134
2460356.551447,1.00273,0.00250,1.2729,1.78,0.14,5.58,39669
2460356.551552,0.99850,0.00249,1.2735,1.42,-0.40,6.70,33355
2460356.551657,1.00204,0.00249,1.2740,-0.19,-0.52,5.60,36863
2460356.551762,0.99742,0.00249,1.2746,-3.07,-0.44,5.79,38526
2460356.551867,0.99866,0.00249,1.2752,-4.17,-0.17,5.84,40941
2460356.551973,0.99557,0.00248,1.2758,-5.25,-0.17,5.40,43145
2460356.552078,1.00000,0.00249,1.2763,-4.38,0.17,5.82,40643
2460356.552183,0.99829,0.00250,1.2769,-1.55,-0.39,6.53,27719
2460356.552288,1.00127,0.00250,1.2775,0.23,-0.46,5.64,43759
2460356.552393,0.99808,0.00249,1.2781,-0.10,-0.40,5.72,37236
2460356.552498,1.00023,0.00249,1.2787,-0.90,-0.22,5.47,41705
2460356.552603,0.99904,0.00250,1.2792,-1.12,0.18,5.06,41285
2460356.552708,0.99701,0.00248,1.2798,-0.63,0.60,5.52,43041
2460356.552814,0.99953,0.00250,1.2804,-0.00,-1.03,5.83,32873
2460356.552919,0.99837,0.00249,1.2810,1.03,-1.22,5.23,40323
2460356.553024,0.99943,0.00249,1.2816,1.76,-0.93,5.28,44871
2460356.553129,1.00063,0.00250,1.2822,1.68,-0.97,5.56,38595
2460356.553234,1.00045,0.00249,1.2827,2.10,-0.65,5.80,38596
2460356.553339,0.99904,0.00249,1.2833,1.95,0.04,4.98,43661
2460356.553444,1.00135,0.00250,1.2839,1.59,-0.31,5.92,34084
2460356.553550,0.99904,0.00250,1.2845,0.72,0.09,5.66,39020
2460356.553655,0.99983,0.00250,1.2851,-0.75,0.54,5.75,38374
2460356.553760,1.00135,0.00250,1.2857,-2.15,0.48,5.74,40477
2460356.553866,1.00359,0.00251,1.2863,-4.10,0.52,5.92,38060
2460356.553971,0.99841,0.00250,1.2869,-3.88,0.50,5.09,43514
2460356.554076,1.00488,0.00252,1.2875,-1.34,0.11,5.96,30120
2460356.554181,1.00200,0.00250,1.2881,0.95,-0.74,5.38,40178
2460356.554286,1.00117,0.00250,1.2887,1.06,-0.61,5.40,44722
2460356.554391,0.99912,0.00249,1.2893,1.09,-0.18,5.19,45441
2460356.554496,0.99844,0.00249,1.2899,1.25,-0.27,5.39,42123
2460356.554601,1.00043,0.00249,1.2905,1.79,0.29,5.39,44306
2460356.554706,0.99964,0.00250,1.2911,0.91,-0.84,5.83,37635
2460356.554811,1.00172,0.00250,1.2917,0.80,-1.15,5.89,38944
2460356.554916,0.99807,0.00249,1.2923,1.89,-1.10,5.59,40015
2460356.555021,0.99890,0.00250,1.2929,2.67,-0.65,5.67,37274
2460356.555127,0.99689,0.00250,1.2935,3.22,-0.65,6.01,37933
2460356.555231,1.00287,0.00250,1.2941,3.38,0.05,5.38,39001
2460356.555337,1.00547,0.00251,1.2947,2.07,0.09,6.58,33829
2460356.555442,1.00422,0.00251,1.2953,0.63,0.05,5.58,35834
2460356.555547,0.99983,0.00251,1.2959,-0.20,0.50,5.77,37978
2460356.555652,1.00073,0.00251,1.2965,-2.23,0.55,5.57,39455
2460356.555757,1.00332,0.00251,1.2971,-3.84,0.48,5.15,42825
2460356.555862,1.00085,0.00251,1.2977,-5.38,0.94,5.53,39032
2460356.555967,0.99907,0.00251,1.2983,-2.03,-0.35,7.06,27052
2460356.556072,0.99783,0.00250,1.2989,0.19,-0.45,5.20,43107
2460356.556177,1.00201,0.00250,1.2995,1.53,-0.53,5.14,41404
2460356.556283,1.00026,0.00252,1.3002,1.13,0.01,5.28,38345
2460356.556388,1.00410,0.00252,1.3008,0.48,0.50,5.27,42774
2460356.556493,0.99830,0.00251,1.3014,0.83,0.84,5.76,37809
2460356.556598,1.00191,0.00251,1.3020,-0.01,-0.20,5.79,38483
2460356.556704,0.99988,0.00251,1.3026,0.41,-0.75,5.05,39346
2460356.556809,1.00031,0.00251,1.3033,1.30,-0.81,5.53,44114
2460356.556914,1.00185,0.00252,1.3039,2.13,-0.88,5.38,41278
2460356.557019,1.00072,0.00251,1.3045,2.51,-0.46,5.22,40928
2460356.557125,1.00106,0.00251,1.3051,2.57,-0.93,5.31,38809
2460356.557230,0.99767,0.00251,1.3058,1.47,-0.48,5.75,36240
2460356.557335,1.00262,0.00252,1.3064,0.82,-0.14,5.18,41956
2460356.557440,1.00297,0.00251,1.3070,0.94,0.04,5.24,44032
2460356.557545,0.99999,0.00251,1.3076,-0.05,0.35,5.56,40494
2460356.557650,0.99615,0.00251,1.3083,-2.31,0.51,5.59,36115
2460356.557755,0.99621,0.00251,1.3089,-4.07,0.83,5.68,37967
2460356.557860,1.00187,0.00252,1.3095,-3.30,0.11,5.90,31139
2460356.557965,0.99787,0.00251,1.3101,-1.01,-0.38,5.76,41362
2460356.558070,0.99875,0.00251,1.3108,0.34,-0.01,5.53,44807
2460356.558175,0.99588,0.00250,1.3114,0.83,-0.15,4.77,45400
2460356.558280,1.00151,0.00252,1.3120,0.82,0.00,5.60,40657
2460356.558386,0.99871,0.00252,1.3127,0.70,0.42,5.71,36938
2460356.558491,0.99962,0.00252,1.3133,0.32,-0.30,5.55,37990
2460356.558596,1.00019,0.00252,1.3139,-0.13,-0.87,5.46,40752
2460356.558701,0.99559,0.00251,1.3145,0.90,-0.67,5.29,40495
2460356.558806,1.00270,0.00253,1.3152,1.73,-0.41,5.47,40066
2460356.558911,0.99879,0.00252,1.3159,2.22,-0.13,5.65,38652
2460356.559017,0.99952,0.00252,1.3164,1.88,0.35,5.07,47344
2460356.559122,0.99621,0.00251,1.3172,0.73,-0.47,6.08,33926
2460356.559227,1.00530,0.00254,1.3178,0.09,-0.54,5.93,33984
2460356.559331,0.99944,0.00253,1.3184,0.56,-0.28,5.64,37682
2460356.559437,1.00002,0.00252,1.3191,0.17,-0.19,5.49,37274
2460356.559542,0.99877,0.00252,1.3197,-1.45,-0.23,5.86,36921
2460356.559647,0.99823,0.00252,1.3203,-3.25,-0.03,5.17,41067
2460356.559752,0.99650,0.00252,1.3210,-2.89,-0.13,5.90,35337
2460356.559857,1.00203,0.00253,1.3217,-2.07,-0.25,5.28,41595
2460356.559963,1.00229,0.00254,1.3223,-0.96,-0.31,5.47,38791
2460356.560068,0.99901,0.00252,1.3230,-0.51,0.17,5.35,40876
2460356.560173,0.99882,0.00253,1.3236,-0.65,0.53,5.12,45890
2460356.560279,0.99944,0.00252,1.3243,-0.48,0.86,5.61,39281
2460356.560384,0.99946,0.00253,1.3249,-0.52,-0.31,5.81,37455
2460356.560489,1.00209,0.00253,1.3255,-0.93,-0.87,5.43,40907
