BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459604.034691,0.95879,0.00261,1.6197,1.70,-1.34,5.63,32391
2459604.035331,0.96188,0.00265,1.6248,-2.53,-0.41,5.86,27175
2459604.035971,0.96910,0.00266,1.6300,-1.10,0.57,6.09,24655
2459604.036612,0.97237,0.00272,1.6353,-0.45,1.51,7.12,21732
2459604.037252,0.97927,0.00269,1.6406,1.28,-3.36,7.11,20991
2459604.037892,0.98515,0.00270,1.6460,1.76,-0.99,6.95,23466
2459604.038533,0.99433,0.00270,1.6515,-0.74,-0.36,6.67,22349
2459604.039172,0.98838,0.00268,1.6570,-2.10,-0.17,6.42,24378
2459604.039855,0.99887,0.00289,1.6630,-0.47,1.59,8.13,14780
2459604.040496,0.99414,0.00296,1.6686,0.45,-3.73,8.63,14515
2459604.041776,0.99962,0.00300,1.6802,0.56,-0.06,9.50,12444
2459604.042416,1.00379,0.00292,1.6861,-1.05,0.94,7.96,15829
2459604.043695,0.99613,0.00290,1.6981,1.92,-2.33,8.32,14097
2459604.044335,0.99977,0.00298,1.7042,0.45,-1.69,9.11,13468
2459604.044974,1.00562,0.00296,1.7104,1.05,0.26,8.79,14469
2459604.045642,1.00570,0.00296,1.7169,-2.38,1.10,9.11,13536
2459604.046282,0.99963,0.00290,1.7233,-1.12,1.40,8.39,15075
2459604.047561,1.00368,0.00284,1.7362,1.19,-1.58,7.46,18048
2459604.048200,1.00000,0.00291,1.7429,-1.05,-1.03,8.52,15966
2459604.048846,0.99731,0.00299,1.7496,-0.75,1.12,8.38,15230
2459604.049485,1.00859,0.00294,1.7563,-0.81,1.27,8.11,17322
2459604.050152,1.00016,0.00311,1.7635,3.81,-2.98,10.00,11448
2459604.050799,1.00176,0.00284,1.7705,1.97,-1.03,6.68,20226
2459604.051438,1.00220,0.00296,1.7775,-3.03,0.92,9.37,15483
2459604.052076,0.99979,0.00289,1.7847,-1.21,0.11,7.18,21597
2459604.052722,1.00418,0.00295,1.7919,3.54,-0.09,7.86,16323
2459604.053361,0.99748,0.00286,1.7992,-0.94,-3.01,8.25,19605
2459604.054000,1.00066,0.00283,1.8066,1.42,-0.75,7.50,22712
2459604.054638,1.00537,0.00294,1.8142,-0.44,1.83,7.86,17159
2459604.055283,1.00240,0.00294,1.8218,-1.99,1.25,9.13,15140
2459604.055921,1.00428,0.00291,1.8295,1.82,-1.01,6.87,20703
2459604.056567,1.00451,0.00317,1.8374,3.02,-2.30,10.06,11344
2459604.057843,1.00943,0.00283,1.8533,-1.15,0.33,6.08,27659
2459604.058488,1.01258,0.00315,1.8614,-0.68,3.31,10.16,12660
2459604.059127,1.00269,0.00302,1.8697,1.43,-0.95,10.46,14188
2459604.059765,1.00535,0.00327,1.8780,2.01,-1.16,9.96,10802
2459604.060411,0.99958,0.00314,1.8865,1.73,0.14,9.75,12808
2459604.061049,0.99953,0.00294,1.8951,-1.72,1.26,8.12,18399
2459604.061688,1.00116,0.00298,1.9038,-1.24,0.93,7.24,16709
2459604.062333,1.00621,0.00304,1.9126,4.18,-3.02,7.79,15454
2459604.062971,1.00668,0.00299,1.9215,1.85,-0.47,7.93,17697
2459604.063616,1.00651,0.00316,1.9306,-2.98,1.24,10.20,11602
2459604.064253,0.99968,0.00315,1.9398,-0.81,1.93,10.32,10754
2459604.064891,1.00074,0.00319,1.9491,3.37,0.67,12.55,9242
2459604.065536,1.00210,0.00311,1.9585,2.64,-2.55,8.79,12884
2459604.066174,1.00660,0.00297,1.9681,-1.23,-0.86,7.43,20093
2459604.066819,1.00181,0.00309,1.9778,-0.19,3.07,9.42,14080
2459604.067457,1.00419,0.00323,1.9876,-1.18,2.22,9.39,11554
2459604.068095,1.00412,0.00309,1.9976,1.70,-2.72,8.24,14559
2459604.068739,0.99676,0.00315,2.0077,3.46,-2.71,8.71,13740
2459604.069376,1.00450,0.00316,2.0180,0.18,0.67,8.90,13652
2459604.070020,1.00443,0.00321,2.0284,-1.16,1.50,10.39,11006
2459604.070657,1.00652,0.00323,2.0389,0.80,1.44,10.50,11346
2459604.071302,1.01169,0.00336,2.0497,2.21,-1.93,9.54,11754
2459604.071939,1.00737,0.00365,2.0605,0.34,-0.87,10.92,8038
2459604.072583,1.00478,0.00309,2.0715,-2.07,0.80,8.31,14973
2459604.073865,0.99757,0.00323,2.0941,4.50,-2.38,8.75,13234
2459604.074502,1.00200,0.00324,2.1056,1.84,-1.00,9.43,11587
2459604.075146,1.00737,0.00345,2.1172,-2.76,2.48,10.68,9038
2459604.076426,1.00183,0.00377,2.1411,2.00,-1.78,12.94,6485
2459604.077063,0.99910,0.00383,2.1533,1.14,-1.74,13.18,6326
