,star,teff,eteff,logg,elogg,vsini,evsini,rad,prot,smwo,esmwo,logrphk,elogrphk,emission
110,WASP-117,5950.0,80.0,4.26,0.13,1.2,0.5,1.267649,45.01705643975257,0.16339799247740533,0.005110553688401008,-4.830699308587722,0.34926494913383954,False
111,WASP-121,6509.0,36.0,4.26,0.01,14.7,0.4,1.487671,4.2765822657712045,0.18000905193459557,0.003512642501122184,-4.655601095652701,0.0890942322978618,True
112,WASP-124,6016.0,70.0,4.38,0.07,4.8,0.3,1.161755,10.27753712022042,0.1911258353371075,0.011026621584934334,-4.689216651042836,0.22358996377845627,False
113,WASP-127,5708.0,50.0,4.12,0.06,0.9,0.6,1.395304,66.06470850155776,0.14702308191258065,0.0032458578291914126,-4.988736783624143,0.2755648621416883,False
114,WASP-130,5633.0,18.0,4.41,0.14,2.8,0.3,1.014734,16.782361366753054,0.16787445869643564,0.014036492250409273,-4.894765316928343,0.07558967313181762,True
115,WASP-131,6115.0,59.0,4.08,0.13,3.9,0.2,1.598496,18.698537738553465,0.14368311516535603,0.006246809520404553,-4.913846437743607,0.3162788786691928,False
116,WASP-133,5700.0,72.0,4.16,0.07,2.2,0.6,1.483407,29.66016442121189,0.16107118512694707,0.010094987807852252,-4.909427769062726,0.32852374397804684,False
117,WASP-139,5013.0,106.0,4.46,0.15,1.4,0.5,0.900217,27.450775797329158,0.21488382896116898,0.022061289281230263,-4.938097808226432,0.20016101293240682,
118,WASP-14,6340.0,85.0,4.2,0.03,4.0,0.2,1.3765,14.98404035488055,0.15484515388528342,0.0010136593296199798,-4.804841047504568,0.3287505170037001,False
119,WASP-140,5302.0,90.0,4.56,0.09,4.7,0.2,0.856307,7.471898017050782,0.4292082063882058,0.014211574972720985,-4.42332092066282,0.08430198250964942,True
120,WASP-141,6122.0,102.0,4.33,0.07,5.0,0.3,1.298226,11.202927684813805,0.18431000632843755,0.008255088426422265,-4.6938688280395535,0.3292307722053374,False
121,WASP-142,5930.0,123.0,4.13,0.09,1.4,0.8,1.674715,50.03873658186058,0.16581168572690724,0.010302484395340816,-4.823082104380722,0.5245745741221212,False
122,WASP-147,5780.0,71.0,4.18,0.08,0.0,0.0,1.455916,inf,0.16791420522458356,0.006125824577799394,-4.851874932911242,0.30085273517287175,False
123,WASP-15,6375.0,60.0,4.22,0.11,5.3,0.2,1.418404,11.760005392969356,0.192709502865015,0.049064080194324344,-4.616538411273176,0.149249938188191,False
124,WASP-157,5764.0,81.0,4.42,0.09,3.2,0.3,1.094984,14.598139488456866,0.21927993250114647,0.04993398720410428,-4.657385261315417,0.2189011894223683,False
125,WASP-158,6148.0,100.0,4.16,0.08,9.9,0.2,1.59072,6.919685968311606,0.1986570884344389,0.007905655290296246,-4.631793397306746,0.2787141458869564,True
126,WASP-159,5800.0,106.0,3.92,0.09,6.1,0.3,2.160929,14.69378288829802,0.167400362020644,0.00510738940069597,-4.848905142218091,0.4517062733826126,False
127,WASP-16,5670.0,31.0,4.36,0.15,2.5,0.3,1.043461,19.403607308195532,0.16400001713691784,0.009474421057185631,-4.902969952207482,0.136019626193553,False
