Host	TOI	URL	Cluster/	Age	Age_median	Age-dating method	exofop url	Discovery Ref.	Nplanets	multi?	Mass ref.	spec inst	Nplanet with mass	Atm ref.	TTV ref	Obliq. ref	RM/DT instrument	exofop_url_json	RA	DEC	TESS	Host Teff	Host radius	Host radius err	Host mass	Vsini	amenable for RM	distance	sectors	Kepler/K2 era?	Prot	LiEW	logR'_HK	B-V	Is Tmag<13?	Is in South?	Is <100 pc?	South & <100pc?
TOI-1268	TOI-1268	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1268	field	110-380	245	gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1268	Subjak+2023	1	0				Perez-Gonzalez+2024				https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1268&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
TOI-1268				110-1000	555			Subjak+2023						Orell-Miquel+2024		Dong+2022				Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
Kepler-1565		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1565	field?	170-230	200	gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1565	Bouma+2024b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1565&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
Kepler-968		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-968	Theia 520	160-400	280	gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-968	Bouma+2024b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-968&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	0.70			Loading...		1					Loading...	Loading...	Loading...	Loading...
Kepler-52		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-52	Theia 520	160-400	280	gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-52	Bouma+2024b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-52&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
TOI-451	TOI-451	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-451	Psc Eri	117-133	125	cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-451	Newton+2021	3	1								https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-451&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
				135-195	165	gyro		Zhang+2023												Loading...	Loading...	Loading...		Loading...	Loading...			Loading...	Loading...									
TOI-1135	TOI-1135	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1135	field	125-1000	562.5	Li, etc	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1135	Mallorquin+2024	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1135&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
TOI-1224	TOI-1224	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1224	MELANGE-5	180-250	215	cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1224	Thao+2024	2	1								https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-1224&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
TOI-2076	TOI-2076	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-2076	field	154-204	179	cluster	https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-2076	Hedges+2021	3	1				Zhang+2023	Zhang+2023	Frazier+2023		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-2076&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
			co-moving with TOI-1807	260-420	340	gyro+Li, etc		Osborn+2022						Gaidos+2023						Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
			field	300	300						Damasso+2024		1							Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...									
Kepler-63		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-63	field	260-520	210			Sanchis-Ojeda+2013	1	0						Bourrier+2023																						
Kepler-1312		https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1312	field	248-432	340	gyro+Li	https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1312	Bouma+2024b	1	0								https://exofop.ipac.caltech.edu/tess/target.php?id=Kepler-1312&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...		1					Loading...	Loading...	Loading...	Loading...
TOI-815	TOI-815	https://exoplanetarchive.ipac.caltech.edu/overview/TOI-815	field	0-600	300		https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-815	Psaridi+2024	2	1	Psaridi+2024		2					https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-815&json	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...			Loading...	Loading...	0					Loading...	Loading...	Loading...	Loading...
