BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.542721,1.00149,0.00237,1.2285,-0.82,0.10,6.76,17188
2460356.542826,1.00237,0.00237,1.2290,-1.62,-0.38,6.54,19555
2460356.542931,1.00161,0.00238,1.2294,-2.40,-0.64,7.22,15439
2460356.543036,0.99806,0.00237,1.2299,-2.55,0.07,7.05,15700
2460356.543141,1.00236,0.00238,1.2304,-1.33,0.33,6.73,16213
2460356.543246,1.00715,0.00238,1.2310,-0.91,0.09,7.04,18082
2460356.543351,0.99806,0.00237,1.2314,0.05,0.52,6.70,18085
2460356.543457,1.00501,0.00238,1.2319,0.39,0.36,6.26,19570
2460356.543562,1.00114,0.00237,1.2325,1.46,0.71,7.25,17327
2460356.543667,0.99900,0.00237,1.2330,2.45,1.02,6.47,17342
2460356.543772,0.99828,0.00237,1.2335,2.45,0.49,6.41,19329
2460356.543877,0.99895,0.00237,1.2340,1.42,0.77,6.97,18538
2460356.543982,1.00356,0.00238,1.2345,-0.39,0.30,5.98,20941
2460356.544087,1.00225,0.00238,1.2350,-2.09,0.36,6.53,17295
2460356.544192,1.00222,0.00238,1.2356,-1.26,0.36,6.10,19426
2460356.544297,0.99846,0.00237,1.2360,0.18,0.26,5.86,19449
2460356.544402,1.00318,0.00238,1.2365,0.90,0.04,6.48,19204
2460356.544507,1.00198,0.00238,1.2371,0.90,0.46,6.70,18145
2460356.544612,1.00203,0.00238,1.2376,-0.45,-0.54,6.14,19529
2460356.544717,1.00036,0.00237,1.2381,-1.19,-0.02,5.33,23636
2460356.544822,0.99573,0.00237,1.2386,-1.51,-0.08,6.16,21542
2460356.544927,1.00272,0.00238,1.2391,-1.71,0.16,6.72,20007
2460356.545033,1.00059,0.00238,1.2396,-0.63,0.08,7.56,16131
2460356.545138,1.00214,0.00238,1.2402,0.34,0.23,6.02,20862
2460356.545243,1.00382,0.00239,1.2407,0.10,0.09,6.21,19222
2460356.545348,1.00363,0.00238,1.2412,0.60,0.26,5.30,24272
2460356.545454,1.00314,0.00238,1.2417,1.22,0.58,6.23,19883
2460356.545559,1.00183,0.00239,1.2422,1.99,0.71,7.38,16052
2460356.545664,1.00481,0.00238,1.2428,3.58,0.74,6.08,21276
2460356.545769,1.00503,0.00239,1.2433,3.82,1.26,6.44,18221
2460356.545875,0.99961,0.00238,1.2438,0.49,-0.30,8.56,13901
2460356.545980,1.00412,0.00238,1.2444,-2.23,-0.26,6.14,20518
2460356.546085,0.99923,0.00237,1.2449,-3.36,0.45,5.95,20909
2460356.546191,1.00189,0.00238,1.2455,-2.70,0.20,6.20,20094
2460356.546296,0.99692,0.00238,1.2460,-1.30,0.64,6.37,19585
2460356.546401,0.99601,0.00237,1.2465,-0.34,0.37,5.71,23778
2460356.546506,1.00332,0.00239,1.2470,-0.47,-0.15,6.70,20115
2460356.546611,1.00103,0.00239,1.2475,-1.78,-0.08,6.58,17626
2460356.546716,0.99873,0.00238,1.2481,-2.47,0.12,5.85,19335
2460356.546821,0.99875,0.00238,1.2486,-3.33,-0.06,6.47,17369
2460356.546927,0.99842,0.00238,1.2491,-3.71,0.12,6.30,19100
2460356.547032,1.00140,0.00238,1.2497,-3.52,0.66,6.23,19609
2460356.547137,1.00144,0.00239,1.2502,-0.68,-0.30,7.20,14756
2460356.547242,1.00094,0.00238,1.2507,0.30,-0.92,6.07,23675
2460356.547347,1.00130,0.00238,1.2513,0.37,-0.67,5.91,22535
2460356.547452,1.00557,0.00239,1.2518,1.13,-0.60,6.80,19110
2460356.547557,0.99680,0.00238,1.2523,2.09,-0.65,5.62,21350
2460356.547662,0.99772,0.00238,1.2529,2.33,-0.13,6.28,19079
2460356.547767,0.99979,0.00239,1.2534,0.36,0.08,6.92,15132
2460356.547872,0.99922,0.00238,1.2540,-1.54,0.14,6.74,16692
2460356.547978,1.00517,0.00239,1.2545,-3.16,0.06,6.25,21249
2460356.548083,0.99743,0.00238,1.2550,-3.46,0.40,6.69,18097
2460356.548188,1.00169,0.00239,1.2556,-2.61,0.52,6.11,18423
2460356.548293,1.00428,0.00239,1.2561,-1.26,0.95,6.53,22829
