muscat_object,instruments,n_frames,ariel_name,period_d,depth_ppm,age,rotation_period,tess_mag,sep_arcsec
TRAPPIST-1,"muscat, muscat2, muscat3, muscat4",18198,TRAPPIST-1h,18.767,0.3375,,,13.8529,253.72854027665977
TRAPPIST-1,"muscat, muscat2, muscat3, muscat4",18198,TRAPPIST-1g,12.35294,0.7555,,,13.8529,253.72854027665977
TRAPPIST-1,"muscat, muscat2, muscat3, muscat4",18198,TRAPPIST-1d,4.04961,0.3676,7.6,3.3,13.8529,253.72854027665977
TRAPPIST-1,"muscat, muscat2, muscat3, muscat4",18198,TRAPPIST-1c,2.4218233,0.7123,,1.4,13.8529,253.72854027665977
qatar1,muscat,428,Qatar-1b,1.420024447,2.14,2.7,30.0,11.8478,254.015880233637
HIP41378f,muscat,7951,HIP41378f,542.07975,0.446150538,4.279,,8.4642,257.02233595155786
TOI02134.01,"muscat, muscat2",12657,TOI-2134b,9.2292005,0.120990351,3.8,45.78,7.7945,260.3366737340634
TOI02134.01,"muscat, muscat2",12657,TOI-2134c,95.5,0.883720621,3.8,45.78,7.7945,260.3366737340634
TOI-1266b,muscat,4476,TOI-1266b,10.8945,0.29802206,4.6,44.6,11.0402,262.05211816343285
TOI-1266b,muscat,4476,TOI-1266c,18.801682,0.205,4.6,44.6,11.0402,262.05211816343285
Kepler51,muscat2,2392,Kepler-51b,45.1542,0.514073569,0.5,8.222,14.2045,263.1138332734087
Kepler51,muscat2,2392,Kepler-51d,130.1845,0.96910112,0.5,8.222,14.2045,263.1138332734087
WASP-39,muscat3,4617,WASP-39b,4.05528028,1.992351814,8.5,,11.3763,265.62011726881076
V1298Tauc,"muscat, muscat2",8516,V1298Taub,24.1396,0.5,0.023,2.865,9.4901,267.81522849235955
TOI5398,muscat3,2128,TOI-5398c,4.77271,0.094279777,0.65,7.34,9.58055,272.7984147050217
TOI5398,muscat3,2128,TOI-5398b,10.590547,0.807249264,0.65,7.34,9.58055,272.7984147050217
K2-19b,muscat,684,K2-19b,7.920922,0.482689008,1.7,18.36,12.3049,275.2228116372556
K2-19b,muscat,684,K2-19c,11.8978,0.167324692,1.7,18.36,12.3049,275.2228116372556
3470,muscat,333,GJ3470b,3.33665245,0.548707138,2.5,21.54,10.2479,281.68387411491017
WASP-103,muscat,3393,WASP-103b,0.92554545,1.195,4.0,,11.7586,285.79690533425355
TOI1288,muscat,3308,TOI-1288b,2.69983041,0.226234308,12.1,,9.93119,290.63301561512463
K2-3,muscat,5823,K2-3b,10.0546611,0.121743122,6.9,40.71,10.5459,293.24077158200834
TOI006663.01,muscat,556,TOI-663c,4.6955507,0.163762926,,30.0,11.7602,299.2500789355554
TOI006663.01,muscat,556,TOI-663b,2.598902,0.165215359,,30.0,11.7602,299.2500789355554
