BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.548188,0.99986,0.00227,1.2556,-2.17,0.64,7.17,33532
2460356.548293,0.99927,0.00227,1.2561,-0.83,0.83,7.72,35920
2460356.548397,0.99842,0.00226,1.2567,0.29,-0.07,7.54,30803
2460356.548502,0.99719,0.00227,1.2572,-0.20,-0.66,7.03,38636
2460356.548608,1.00224,0.00227,1.2578,-0.40,0.03,7.17,36129
2460356.548713,0.99785,0.00227,1.2583,-1.08,-0.45,8.16,26989
2460356.548818,1.00109,0.00227,1.2589,-1.05,0.08,7.14,35957
2460356.548923,0.99839,0.00227,1.2594,-0.92,0.07,7.37,34819
2460356.549029,0.99801,0.00226,1.2600,0.41,-0.05,7.10,33935
2460356.549133,1.00193,0.00227,1.2605,1.60,-0.65,7.64,40734
2460356.549238,1.00018,0.00226,1.2611,1.72,-0.64,7.89,38033
2460356.549343,0.99839,0.00227,1.2616,1.85,-0.25,6.35,40168
2460356.549449,1.00312,0.00228,1.2622,2.51,-0.13,7.39,31303
2460356.549553,0.99759,0.00227,1.2627,2.78,-0.50,7.69,27974
2460356.549659,1.00327,0.00228,1.2633,1.20,0.34,7.64,30818
2460356.549764,0.99757,0.00227,1.2639,-0.86,0.02,7.04,35962
2460356.549870,0.99607,0.00226,1.2644,-2.12,0.39,7.11,32989
2460356.549975,1.00113,0.00228,1.2650,-3.24,0.53,7.73,32337
2460356.550080,0.99886,0.00227,1.2655,-3.14,0.85,6.76,37287
2460356.550185,0.99960,0.00227,1.2661,-2.39,1.41,6.78,37356
2460356.550290,1.00337,0.00229,1.2667,0.21,-0.04,7.31,28322
2460356.550396,1.00144,0.00228,1.2672,-0.03,-0.72,7.41,32435
2460356.550501,0.99632,0.00228,1.2678,-0.51,-0.25,6.93,33403
2460356.550606,0.99586,0.00227,1.2683,-1.17,-0.31,7.10,33595
2460356.550711,1.00217,0.00228,1.2689,-1.73,-0.10,7.30,33234
2460356.550817,1.00304,0.00228,1.2695,-2.12,0.21,7.22,32984
2460356.550922,0.99920,0.00227,1.2700,0.20,-0.28,6.74,31151
2460356.551027,0.99941,0.00227,1.2706,0.86,-0.56,7.29,34656
2460356.551132,1.00036,0.00227,1.2712,0.94,-0.21,7.06,32955
2460356.551237,1.00259,0.00227,1.2718,1.44,0.07,7.57,34984
2460356.551342,0.99852,0.00227,1.2723,2.21,0.07,6.94,35452
2460356.551447,1.00488,0.00228,1.2729,2.46,0.01,7.17,35653
2460356.551552,1.00277,0.00228,1.2735,2.01,-0.33,8.18,30236
2460356.551657,1.00002,0.00228,1.2740,0.23,-0.66,6.97,34423
2460356.551762,0.99895,0.00227,1.2746,-2.23,-0.46,6.74,36062
2460356.551867,1.00425,0.00228,1.2752,-3.62,-0.38,7.13,39141
2460356.551973,1.00045,0.00228,1.2758,-4.38,-0.42,7.34,39745
2460356.552078,0.99885,0.00227,1.2763,-4.00,-0.03,6.97,38739
2460356.552183,0.99948,0.00229,1.2769,-0.62,-0.27,7.60,26483
2460356.552288,1.00112,0.00228,1.2775,0.67,-0.79,6.47,40379
2460356.552393,1.00118,0.00228,1.2781,0.56,-0.55,7.36,34712
2460356.552498,1.00523,0.00229,1.2787,-0.00,-0.41,6.82,38605
2460356.552603,0.99753,0.00228,1.2792,-0.39,-0.11,6.63,37704
2460356.552708,0.99503,0.00227,1.2798,-0.05,0.60,6.80,38182
2460356.552814,0.99989,0.00228,1.2804,0.77,-1.01,6.88,33058
2460356.552919,1.00279,0.00228,1.2810,1.55,-1.27,6.36,37949
2460356.553024,1.00120,0.00228,1.2816,2.26,-0.90,6.87,44364
2460356.553129,1.00036,0.00229,1.2822,2.34,-1.10,7.18,35986
2460356.553234,1.00194,0.00228,1.2827,2.88,-0.71,7.36,34671
2460356.553340,0.99884,0.00227,1.2833,2.73,-0.12,6.12,39174
2460356.553444,0.99934,0.00229,1.2839,2.39,-0.57,6.92,32361
2460356.553550,0.99606,0.00228,1.2845,1.24,0.02,6.96,33603
2460356.553655,1.00028,0.00228,1.2851,-0.34,0.58,6.66,35914
2460356.553760,0.99733,0.00228,1.2857,-1.66,0.54,7.39,34339
2460356.553865,1.00003,0.00228,1.2863,-3.39,0.39,7.55,35381
2460356.553971,1.00135,0.00229,1.2869,-3.08,0.60,6.58,37747
2460356.554076,1.00431,0.00230,1.2875,-0.46,-0.10,7.22,26745
2460356.554181,1.00066,0.00228,1.2881,1.41,-0.88,6.88,37077
2460356.554286,1.00002,0.00228,1.2887,1.91,-0.38,6.49,39676
2460356.554391,1.00072,0.00228,1.2893,1.94,-0.43,6.64,40904
2460356.554496,1.00357,0.00228,1.2899,1.77,-0.54,7.01,38740
2460356.554601,0.99992,0.00228,1.2905,2.43,0.19,6.43,40040
2460356.554706,1.00113,0.00229,1.2911,1.56,-0.80,7.48,32937
2460356.554811,0.99895,0.00228,1.2917,1.31,-1.39,7.43,39527
2460356.554916,0.99869,0.00228,1.2923,2.57,-1.25,7.34,37376
2460356.555021,1.00187,0.00229,1.2929,3.23,-0.86,7.10,37545
2460356.555127,1.00175,0.00229,1.2935,3.98,-0.90,7.18,36583
