BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.554076,1.00463,0.00257,1.2875,-1.52,0.11,7.69,29322
2460356.554181,1.00269,0.00255,1.2881,0.93,-0.72,6.90,40142
2460356.554286,1.00599,0.00255,1.2887,0.94,-0.59,6.45,43193
2460356.554391,0.99785,0.00254,1.2893,1.06,0.26,6.96,42738
2460356.554496,1.00561,0.00255,1.2899,1.21,0.02,7.09,41009
2460356.554601,0.99796,0.00254,1.2905,2.07,0.16,6.78,42882
2460356.554706,1.00229,0.00256,1.2911,0.84,-0.29,7.65,39114
2460356.554811,0.99631,0.00255,1.2917,0.46,-1.36,8.43,40520
2460356.554916,0.99698,0.00255,1.2923,2.30,-0.92,7.34,41218
2460356.555021,0.99968,0.00255,1.2929,2.89,-1.30,6.91,37838
2460356.555127,0.99889,0.00255,1.2935,2.93,-0.73,7.64,40205
2460356.555232,0.99892,0.00255,1.2941,3.33,0.15,7.28,37531
2460356.555337,1.00574,0.00257,1.2947,1.95,0.34,8.02,34472
2460356.555442,1.00056,0.00256,1.2953,0.25,-0.14,6.81,37806
2460356.555548,1.00327,0.00256,1.2959,0.57,0.06,7.51,33316
2460356.555652,0.99947,0.00256,1.2965,-2.46,0.75,7.42,38130
2460356.555757,1.00224,0.00256,1.2971,-3.11,0.52,7.15,40355
2460356.555862,1.00481,0.00257,1.2977,-5.17,1.43,7.28,35570
2460356.555967,1.00062,0.00257,1.2983,-2.37,-0.39,8.49,26327
2460356.556072,1.00675,0.00257,1.2989,0.27,0.07,7.09,39216
2460356.556177,1.00391,0.00256,1.2995,1.70,-0.51,7.09,39818
2460356.556282,1.00028,0.00257,1.3002,1.88,0.44,7.10,38468
2460356.556387,1.00215,0.00256,1.3008,0.30,0.20,6.63,41900
2460356.556493,0.99873,0.00257,1.3014,0.84,1.34,7.25,37636
2460356.556598,1.00667,0.00257,1.3020,0.10,-0.70,6.90,39160
2460356.556704,1.00100,0.00256,1.3026,0.68,-0.86,6.82,36478
2460356.556809,1.00193,0.00257,1.3033,1.10,-1.02,7.29,42991
2460356.556914,1.00274,0.00257,1.3039,2.01,-0.93,6.35,41263
2460356.557019,1.00211,0.00257,1.3045,2.25,-0.20,7.12,40205
2460356.557125,0.99690,0.00256,1.3051,2.85,-0.16,6.88,36023
2460356.557230,0.99816,0.00257,1.3058,1.41,-0.50,7.62,34686
2460356.557335,1.00000,0.00256,1.3064,0.50,0.18,7.04,39129
2460356.557440,1.00106,0.00257,1.3070,0.32,-0.24,6.87,42782
2460356.557545,0.99930,0.00257,1.3076,0.09,1.30,7.22,36955
2460356.557650,1.00643,0.00258,1.3083,-2.25,0.53,6.90,34968
2460356.557755,0.99917,0.00257,1.3089,-3.49,0.33,7.07,35747
2460356.557860,0.99827,0.00257,1.3095,-2.87,-0.32,7.76,32300
2460356.557965,0.99942,0.00256,1.3101,-1.45,-0.30,7.44,39342
2460356.558070,1.00201,0.00257,1.3108,0.58,0.13,7.31,43050
2460356.558175,0.99862,0.00256,1.3114,0.94,0.03,6.44,46307
2460356.558281,1.00516,0.00258,1.3120,0.97,-0.10,7.26,39968
2460356.558386,1.00098,0.00259,1.3127,0.65,0.80,7.61,38257
2460356.558491,1.00055,0.00257,1.3133,0.24,-0.25,7.01,35997
2460356.558596,1.00162,0.00257,1.3139,-0.51,-0.98,6.92,38708
2460356.558701,1.00283,0.00257,1.3146,0.68,-0.97,7.15,41206
2460356.558806,1.00444,0.00258,1.3152,1.80,-0.60,7.33,37472
2460356.558911,1.00378,0.00258,1.3159,2.38,0.51,7.47,42202
2460356.559016,1.00026,0.00257,1.3164,2.03,0.78,6.92,41252
2460356.559121,1.00425,0.00258,1.3172,0.47,-0.47,7.33,34933
2460356.559226,1.00760,0.00259,1.3178,-0.10,-1.06,7.80,32910
2460356.559331,1.00302,0.00259,1.3184,0.68,-0.33,6.90,38372
2460356.559437,1.00314,0.00258,1.3191,0.30,0.34,7.40,35973
2460356.559542,1.00385,0.00259,1.3197,-1.04,0.13,7.29,37774
2460356.559647,1.00098,0.00258,1.3203,-3.49,-0.15,5.90,42576
2460356.559752,1.00605,0.00259,1.3210,-3.01,0.06,7.52,34628
2460356.559857,1.00774,0.00259,1.3217,-2.51,0.01,6.82,38192
2460356.559963,1.00801,0.00260,1.3223,-0.91,-0.46,6.58,38338
2460356.560068,1.00760,0.00259,1.3230,-0.18,0.28,7.44,42436
2460356.560173,1.00226,0.00258,1.3236,-0.10,1.02,6.74,42682
2460356.560278,0.99926,0.00258,1.3243,-0.79,0.60,6.83,36470
2460356.560384,0.99984,0.00258,1.3249,-0.75,0.12,7.11,37344
2460356.560489,1.00542,0.00259,1.3255,-0.27,0.11,7.75,40324
2460356.560594,1.00024,0.00258,1.3262,-0.89,-0.88,6.50,44468
2460356.560700,1.00188,0.00258,1.3269,-0.24,0.44,7.05,45888
2460356.560805,1.00703,0.00260,1.3276,0.66,-0.50,6.44,40717
2460356.560910,0.99941,0.00258,1.3282,-0.53,-0.68,6.47,43578
